ENSEMBL;Gene Symbol;logFC;logCPM;F;PValue;FDR;type
ENSG00000213445;SIPA1;-1.0002151786597;3.91282706043454;33.1299530388964;1.25776313992777e-05;0.000135857844025557;down
ENSG00000105784;RUNDC3B;-1.00129155604553;4.19950588624191;57.0011004287039;2.87728913681589e-07;7.4948827645774e-06;down
ENSG00000196456;ZNF775;-1.00201998664845;2.39935131360856;26.5150764780294;4.92912980510633e-05;0.000397627841486893;down
ENSG00000187609;EXD3;-1.00228705336357;3.69608743912461;49.1726001894616;8.53635615946185e-07;1.69370992849011e-05;down
ENSG00000145014;TMEM44;-1.00232933478386;2.94000500041982;13.4530988275281;0.00153388644611527;0.00593034925601446;down
ENSG00000196782;MAML3;-1.00295376379845;2.24630690699925;22.1903344790542;0.000135135665965999;0.000869492960226495;down
ENSG00000164463;CREBRF;-1.00366471888762;4.65316938817798;91.8589168705565;6.62768236109519e-09;4.14984856653102e-07;down
ENSG00000165475;CRYL1;-1.00390446764624;5.21047648088373;54.8420078821266;3.83843346477439e-07;9.20960674189779e-06;down
ENSG00000108797;CNTNAP1;-1.0049231298157;1.40264232274698;13.2816990731331;0.00161973582818483;0.00620906132218401;down
ENSG00000142661;MYOM3;-1.00635491024486;2.28822257027283;16.9751838212211;0.000534321254457767;0.00257372097360718;down
ENSG00000142273;CBLC;-1.00704133002045;3.00240725323732;29.9056008036776;2.3902467737087e-05;0.000225052833781678;down
ENSG00000161082;CELF5;-1.00866171719885;2.89056325847668;22.6522487922021;0.000120715999001143;0.000796975991756606;down
ENSG00000022267;FHL1;-1.01001453611464;3.59788515436922;40.8636683592192;3.1381114742332e-06;4.76094395895597e-05;down
ENSG00000239887;C1orf226;-1.01021988938168;4.31872571898432;68.2303469008309;7.25816314909865e-08;2.55093432486412e-06;down
ENSG00000131459;GFPT2;-1.01083606282719;3.51193683365969;56.8325310983462;2.94188906543276e-07;7.60649616400619e-06;down
ENSG00000103260;METRN;-1.01112255880025;6.3037288727055;67.9088374627047;7.5309211299667e-08;2.62046081507398e-06;down
ENSG00000064270;ATP2C2;-1.01187135621598;1.88327928863972;11.6426912029616;0.00277261990851253;0.00960126338346955;down
ENSG00000221818;EBF2;-1.01558545391989;1.90629464586519;16.0416058070036;0.000698752076226268;0.00319207839394286;down
ENSG00000104883;PEX11G;-1.01570877436535;1.41744979746894;12.4993487912856;0.0020853958385086;0.00764426545834861;down
ENSG00000175155;YPEL2;-1.01589444499104;3.39189777316052;40.3639576072422;3.41323142698473e-06;5.06839503191746e-05;down
ENSG00000121207;LRAT;-1.01754654258038;4.11743884867193;43.2716813757769;2.11357369236669e-06;3.5112433264638e-05;down
ENSG00000144730;IL17RD;-1.0195798899158;4.54983963743382;73.2720353290804;4.14067906965761e-08;1.62240388869386e-06;down
ENSG00000186868;MAPT;-1.01998410922036;6.96923577617966;149.049417227429;1.04490675672723e-10;1.57162964656995e-08;down
ENSG00000167535;CACNB3;-1.02066831159618;3.29284088347198;40.458741970943;3.359070173144e-06;5.01458629476395e-05;down
ENSG00000112293;GPLD1;-1.02211055354221;1.82483796860162;11.724294012195;0.00269737180580058;0.00939190865041461;down
ENSG00000172081;MOB3A;-1.02274290484299;3.10775987720988;27.8171448300221;3.70934376663108e-05;0.000317930763527178;down
ENSG00000104518;GSDMD;-1.02443613817024;4.31383782013232;54.2677329355882;4.15019327450916e-07;9.75679050820742e-06;down
ENSG00000091136;LAMB1;-1.02455800503346;6.66451970206776;136.088817526552;2.32646273864635e-10;2.87987263612257e-08;down
ENSG00000141337;ARSG;-1.02470443164534;2.1136194958943;18.8676382259676;0.000317089969189103;0.00168841054016641;down
ENSG00000123933;MXD4;-1.02583168941901;4.32553718671597;51.5706166464553;6.03978893981211e-07;1.30176529568709e-05;down
ENSG00000159871;LYPD5;-1.02587073577217;2.28668212920302;15.9132644521565;0.000725439678566295;0.00328609139371287;down
ENSG00000174567;GOLT1A;-1.0271136646916;1.54052682806603;14.4620092858501;0.00112019778982824;0.00464138823581679;down
ENSG00000168243;GNG4;-1.02742561719463;2.92507522788532;22.2553545605906;0.000132995633631567;0.000858884082750858;down
ENSG00000183049;CAMK1D;-1.02779908201907;3.83245007277594;72.9490062811204;4.28828185768133e-08;1.66729378870604e-06;down
ENSG00000246898;LINC00920;-1.02804535856425;2.21995684972985;19.9725854260892;0.000236777431905467;0.00134094007490421;down
ENSG00000183828;NUDT14;-1.02885359306098;2.69030485626301;18.8040958484242;0.000322548566712888;0.00171096296973071;down
ENSG00000142459;EVI5L;-1.02992809337567;2.96359514128614;34.2796178911794;1.01022586168888e-05;0.000114793171026029;down
ENSG00000169894;MUC3A;-1.03025365275496;4.3094300995887;78.6369621711839;2.35487270669651e-08;1.11283646693482e-06;down
ENSG00000196668;LINC00173;-1.03058087294349;4.07205477116485;44.841990801097;1.64689439389385e-06;2.8809770201908e-05;down
ENSG00000103253;HAGHL;-1.03083047041165;4.67435494715793;108.28325801295;1.66971009602775e-09;1.46892483165007e-07;down
ENSG00000233593;AL590094.1;-1.03107491959624;2.45481583649428;16.6825410389689;0.000580732123908581;0.00275832969413692;down
ENSG00000166750;SLFN5;-1.0329844486576;4.54570558336808;76.232857030503;3.02054584104287e-08;1.33895257186079e-06;down
ENSG00000143178;TBX19;-1.03353509891376;1.56556017022439;12.9103956099783;0.00182455750346369;0.00685520020372013;down
ENSG00000167311;ART5;-1.03427783357734;2.21947707243435;15.2964994308852;0.000870438168803317;0.00378715057705157;down
ENSG00000267453;LINC01835;-1.03430358361975;2.46608279081969;30.3297949822655;2.19129379765244e-05;0.000210810300148296;down
ENSG00000186994;KANK3;-1.03496629114718;3.00579740741837;39.5955947951885;3.88953180005149e-06;5.58260579626694e-05;down
ENSG00000138101;DTNB;-1.03511730244174;3.10600102150351;28.2046899556281;3.41372539188886e-05;0.000296591247091561;down
ENSG00000165801;ARHGEF40;-1.03574825938241;3.12303268651542;26.2075173233208;5.27797188340727e-05;0.000419240605934701;down
ENSG00000099785;MARCH2;-1.0359571912815;3.25453526891748;28.4466173856225;3.24240009126748e-05;0.000285101524735542;down
ENSG00000054179;ENTPD2;-1.03647497524366;3.19520405563212;29.9106827598226;2.38774858984362e-05;0.000225052833781678;down
ENSG00000169035;KLK7;-1.03772958300462;5.58986365335028;97.5767006892884;4.01229714035315e-09;2.8634700203704e-07;down
ENSG00000133315;MACROD1;-1.03829391966283;3.32594122217818;23.074410806278;0.000109010765948282;0.00074021485149736;down
ENSG00000213722;DDAH2;-1.03942100232123;5.6788901362172;124.180934646497;5.16113796416266e-10;5.82209660021833e-08;down
ENSG00000079462;PAFAH1B3;-1.04024590143104;5.37384413377782;59.3732678386706;2.11605153549824e-07;5.97966239970693e-06;down
ENSG00000213213;CCDC183;-1.04299480959597;1.71970836884238;13.0978160587375;0.00171779761628748;0.00651533434290383;down
ENSG00000139515;PDX1;-1.04312670327951;2.04239170035443;22.1992391433049;0.000134840351138958;0.000868391727316642;down
ENSG00000167925;GHDC;-1.04391028694182;1.40298641719266;11.6052778145573;0.00280789560861561;0.00970038127273774;down
ENSG00000197576;HOXA4;-1.04474592236096;2.61575404462478;19.2642465465354;0.000285239985475974;0.00155492475324939;down
ENSG00000124374;PAIP2B;-1.04636334429002;2.8579490560591;27.1633485140838;4.2741254864276e-05;0.00035523747655466;down
ENSG00000172137;CALB2;-1.04849130303892;4.04200424335867;56.010332188235;3.28073303707289e-07;8.19480245045993e-06;down
ENSG00000149809;TM7SF2;-1.04895397421069;4.11144198194189;43.3587999150543;2.08417448395369e-06;3.48308634188103e-05;down
ENSG00000132026;RTBDN;-1.04912787933478;2.32472323427582;22.6267157381824;0.000121467154832308;0.000800321508146169;down
ENSG00000011347;SYT7;-1.04953789366157;5.25165706592187;116.733483960152;8.79323650265754e-10;8.91302842022998e-08;down
ENSG00000092421;SEMA6A;-1.05025096939164;3.60835156765667;31.3783358763557;1.77343905283256e-05;0.00017744538963535;down
ENSG00000082497;SERTAD4;-1.05316405637494;2.41842237912479;18.854100395694;0.000318244329155412;0.0016932680396447;down
ENSG00000099953;MMP11;-1.05431328586139;2.91807857806307;22.5761136220965;0.00012297109554252;0.000807567926971252;down
ENSG00000135736;CCDC102A;-1.05546998648349;1.978558637231;19.0177945534549;0.000304591589324136;0.00163548922497296;down
ENSG00000179178;TMEM125;-1.05888296481362;4.52057789360871;30.317392414336;2.19684484123378e-05;0.000211199076557925;down
